region,areaLabel,itemLabel,partyLabel
Brazzaville,Arrondissement 3 Poto-poto,Nicefort Filla Saint Eudes,ANC
Brazzaville,Arrondissement 5 Ouenze,Adada Rodolphe,PCT
Brazzaville,Arrondissement 6 Talangaï,Bombet Jacques,PCT
Pointe-noire,Arrondissement 2 Mvou-mvou,Thystère Tchikaya Jean-Pierre,RDPS
Dolisie,Arrondissement 1,Boussou Diangou,UPADS
Mossendjo,…,Bongouanza Emmanuel,indépendant
Kouilou,Zambie,Mana Kouakoua Joseph,MARS
Kouilou,Mvouti 1,Mavoungou Godefroy,ACDR
Kouilou,Tsamba-Ndzassi,Mbassi Bernard,RDPS
Niari,Moungoundou Nord,Kadia Patrice,APC
Niari,Mayoko,Tsaka Imvouloungou,UPADS
Niari,Banda,Koumba Justin,APC
Bouenza,Mouyondzi,Munari Mabondzo Claudine,indépendante
Bouenza,Tsiaki,Batsi Benoît,LADIP
Pool,Boko,Satouabantou Milongo André,UDR-Mwinda
Pool,Igné,Mbemba Jean Martin,UP
Pool,Mbandza-Ndounga,Bitsindou Gérard,indépendant
Plateaux,Abala,Oba Apounou Gabriel,PCT
Plateaux,Mpouya,Mboulou Raymond Zéphirin,PCT
Plateaux,Djambala,Abandzounou Pierre Ernest,UFD
Plateaux,Ollombo 1,Obambi Ondaye,PCT
Plateaux,Ollombo 2,Ibara Ndelly Phillipes,PCT
Plateaux,Ngo,Gongarad Nkoua Célestin-Auguste,UPDP
Plateaux,Ongoni,Ngollo Pierre,PCT
Plateaux,Gamboma 2,Kaba Jean,UPRN
Plateaux,Makotimpoko,Massembou Nganongo Joseph,CDR
Cuvette,Oyo,Ibovi François,PCT
Cuvette,Makoua,Ayessa Firmin,PCT
Cuvette,Tchikampika,Péa Daniel,PCT
Cuvette,Loukolela,Longombé Gabriel,PCT
Cuvette,Ngoko,Dambendzet Jeanne-Sahara,PCT
Cuvette,Owando 1,Moussa Pierre,PCT
Cuvette,Owando 2,Iboko Norbert,PCT
Cuvette,Mossaka 1,Bokilo Gabriel,URN
Cuvette,Boundji,Lekoundzou Itihi Ossetoumba,PCT
Cuvette Ouest,Mbomo,Opimbat Léon-Alfred,ACOSS
Sangha,Sembé,Ndouane Dambert René,PCT
Sangha,Pikounda,Bokondo Philippes Célestin,PCT
Sangha,Souanké,Sondjo Mélanie,PCT
Likouala,Bouanella,Ebounda Raymond,PCT
Likouala,Bétou,Sabaye Ferdinand,PCT
Likouala,Enyellé,Djombo Henri,PCT
Likouala,Dongou,Mania Venance,PCT
Likouala,Impfondo,Moka Alain,PCT
Likouala,Epena 1,Kouebe Yvon Roger,PCT
Likouala,Epena 2,Bathéas Jean-Marie,PCT
Likouala,Liranga,Bakoli Bayack Pierre,PCT
