itemLabel,partyLabel,areaLabel
TCHIBINDA Alain,MAR,Loango
MAKASSO Fils Basile,PCT,kakamoeka
MAVOUNGOU Gustave,RDPS,Hinda
MAKOSSO Serge Marvelh,MAR,Madingo-Kayes
LOUEMEBET Landry Autria Fabrice,RDPS,Nzambi
KOUMBA BALOLA Gaston,Indépendant,Mvouti 1
LOUVOUNOU Alphonse,PCT,Mvouti 2
BOUITY Berthe,PCAP,Lumumba 1
ONGOLY née LOUMINGOU Géneviève,PCT,Lumumba 2
BELI Victor,MAR,Lumumba 3
BONGO Emilon Patrick,RDPS,Mvou - Mvou 1
NGUIMBY DE MOUSSYTH KINGA Patrick,PCT,Mvou - Mvou 2
MBOUNGOU Goolfred Florent,PCT,Tié - tié 1
MBOUNGOU MBOUNGOU Raymond,PCT,Tié - tié 2
MAKOSSO Anatole Collinet,PCT,Loandjili 1
MIOKO Germain,PCT,Loandili 2
PAKA BANTHOUD Genest Wilfrid,PCT,Ngoyo
OKANDZA Fernand,PCT,Mongo - Mpoukou
PAMBOU DADET Daniast,PCT,Tchiamba - Nzassi
NZAOU Féicien Dieudonné,UPADS,Dolisie 1
KAYA MVOULA Brice,UPADS,Dolisie 2
BINISSA François,PCT,Banda
NZOUMINI DITADI,PCT,Divenié
IBOUANGA Jean Pierre,UPADS,Kibangou
MAYANITH NGOMA,PCT,Kimongo
GOMA Antoine,PCT,Londéla - Kayes
BATANGOUNA MOUNDA Bienvenu,PCT,Louvakou
NTSAMBVA Léon,PCT,Makabana
MBOUKOULOU Lucien,UPADS,Mayoko
OBANGA Jean Fabrice,DRD,Mbinda
BANDANGOYI YANDOT Claude Juet,DRD,Moungoundou - Nord
DOUMA Boniface,MAR,Moungoundou - Sud
BIRANGUE Aloise,Indépendant,Mossendjo 1
NGOMA Isidore Séraphin,Indépendant,Mossendjo 2
IBINGOU KOUASSI Gaëtan,Indépendant,Moutamba
KOMBILA Michel Roger,FP,Nyanga
BOUBITA MBOMO,UMP,Yaya
MOUANDA Donatien,Indépendant,Madingou commune
MABIALA Alain Roger,Indépendant,Madingou district
MANKITA Joseph,PCT,Tsiaki
MOUHINGOU Germain,PCT,Kayes
POUELA Marc Gilbert,PCT,Boko-Songho
MANTSOUNGA Joseph,PCT,Kingoué
KAYA Jean,PCT,Yamba
TOUNGOUKA Fidèle,UPADS,Nkayi 1
MANKOU Aimé Vincent,Indépendant,Nkayi 2
MATOUTI Albert,PCT,Mabombo
MAKOUENDE Jean Didier,UPADS,Loudima
MBOBO KITOKO Charles,Indépendant,Mfouati
BANGA Antoine,MNLC,Mouyondzi
MBAMA Fabrice Adolphe,PCT,Sibiti commune
NZIMBI Norbert,LA CHAINE,Sibiti district
MOUKOUIMI Albert,UPADS,Bambama
OYANDZA Guy Fernand,UPADS,Komono
MAMPEME Jean Felix,PCT,Mayéyé
MAMPASSI Jean Bosco,PCT,Zanaga
MALONGA Jean Paul,PRL,Kinkala commune
MFIRA Pascal,PCT,Kintélé commune
LABIMEBOU Timothé,PCT,Ignié
KOUKA Jeanne Rose,CRDP,Loumo
BASSAFOULA Emile,Indépendant,Louingui
INKARI Benoit,PCT,Ngabé
BANZOULOU KANI Honorat,PCT,Boko
GANAO NGASSEBE Marc Aurèle,UFD,Djambala commune
OSSEBI Jean Christ,PCT,Allembé
ANDAMOUI Raphael,PCT,Mpouya
ELAULT Bello Belard,PCT,Gamboma 1
NKABA Ernestine,PCT,Gamboma 2
EBARA Fidèle,PCT,Abala
LIMBOULA Bruno,Indépendant,Lekana
NGALIBO Pascal,Indépendant,Mbon
OMBO LEBARRAS Charles Timothé,UMP,Ngo
BOSSA Fidèle,PCT,Ollombo 1
KIBA Jean Paul,PCT,Ollombo 2
KANGA Philipe,PCT,Makotimpoko
MOUNDELE NGOLO EHOUROSSIA Yves,PCT,Ongogni
YOKA Justin,PCT,Oyo commune
IBELA Abraham,PCT,Oyo district
LEKOUNDZOU TSATSA Avanke,PCT,Boundji
OKONDZA Jean Fréderic,PCT,Ngoko
YEKA Fréderic,PCT,Makoua
MOUANDZA MOUYABI Francis,PCT,Ntokou
OMBAKA Jean Michel,PCT,Tchikapika
KESSALE Prosper,PCT,Loukolela
LEKAKA Nadège Carole,PCT,Mossaka 1
BOKAMBISSA Prudent,PCT,Mossaka 2
MAFIMBA BOUYA Jean Raoul,PCT,Bokoma
IBARA Jean,PCT,Owando commune
BONGO-SAMBY IBOMBO Louise,PCT,Owando district
MFALI Maturin,PCT,Ewo commune
EKONGO Adolphe,PCT,Ewo district
OYERONDAYA Louisie,PCT,Okoyo
DASSIA Robert,PCT,Mbama
POUPET Emmanuel,PCT,Mbomo
OMVOUELET Francis Pépin,PCT,Etoumbi
EDJO Jean Robert,PCT,Kellé
EZOUNA NGUIMBI Laure Jeremih,PCT,Ouesso 1
ALONTSAMI Raymond,PCT,Ouesso 2
MONBANDJO Jean Roger Bosco,PCT,Pokola
FOUNGUI Athanase,PCT,Pikounda
AVOUNGOU Georges,PCT,Kabo
BEH Jean Claude,PCT,Souanké
KIBA Salomon,PCT,Mokéko
MASSE DENGUE Rodrigue,PCT,Ngbala
MIKILIK Athanase,PCT,Sembé
MANGUELE Marie Solange,PCT,Impfondo commune
KAMARA BANDHIOUGOU Hilley,PCT,Impfondo district
DANGUIME Martial,PCT,Bouanela
BELEMBO Auguste,PCT,Bétou
BANZANI Sébastien Rigobert,PCT,Enyellé
BELEMENE DZAMOND Hilaire,PCT,Dongou
MOULOUMBA Piorrot Jean Marc,PCT,Epena 1
MAKASSELA EWHAKOU Herdy,PCT,Epena 2
DOLOBO BOKOCKOU Gabriel,PCT,Liranga
TSIAKOUAMA Christophe,Indépendant,Makélékélé 1
MALELA Bernard,Indépendant,Makélékélé 2
MATOKOT Aristide,CDR,Makélékélé 3
LOUBANGASSOU Daniel,Indépendant,Makélékélé 4
BALOKI Gisèle,Indépendant,Bacongo 1
LOKO Etienne,Indépendant,Bacongo 2
BOBOT Pascal Edmond,PCT,Poto-poto 1
NGOUMBA Gabriel,PCT,Poto-poto 2
MPIKA MAMPASSI René,PCT,Poto-poto 3
KOUAZAU MAU Yvon Brice,CPR,Moungali 1
BAMBA Octave,PCT,Moungali 2
MAYOYO Rémy Pierre,PULP,Moungali 3
AKOUALA GAMBOU Francis Rivelin,CLUB 2002 PUR,Ouenzé 1
KIBOYI Omer,PCT,Ouenzé 2
OKEMBA PITY Nathalie Sylvie,PCT,Ouenzé 3
MBATANI Gogel,Indépendant,Ouenzé 4
MBONGO MVOULI OBAMBESSA Luther,PCT,Talangai 1
GAMPFINA BAMPE Bory,MDP,Talangai 2
ETOUA Claver David,PCT,Talangai 3
OFAMALEKOU Ghislain Urbain,PCT,Talangai 4
LENGA Isidore,PCT,Talangai 5
NFOUTOU NKOUNGA Antoine,Indépendant,Mfilou 1
OYINDZA Emmanuel,RC,Mfilou 2
BASSEGELA née BIANFOUANA Albertine,Indépendant,Madibou
IKANI OBAMBI Maurice,PCT,Djiri 1
NOUMAZALALI Linda,PCT,Djiri 2
OFOUNGA Joseph,PCT,Ile Mbamou
