areaLabel,itemLabel,partyLabel
Kouilou,Sylver Makaya Tchibinda,Indépendant
Kouilou,Michel Robert Makaya,Indépendant
Kouilou,Athanase Makoundi Makaya,Indépendant
Kouilou,Martin Nicaise Makosso,Indépendant
Kouilou,Raymond Bongo Mavoungou,PCT
Kouilou,Justin Goma Gabou,Indépendant
Pointe-Noire,Gabriel Zambila,PCT
Pointe-Noire,Jean-Félix Tchikaya,RDPS
Pointe-Noire,Bernard Mbatchi,RDPS
Pointe-Noire,Antoine Denis Loemba,MAR
Pointe-Noire,Odette Massoussa,PCT
Pointe-Noire,Victor Foudi,PCT
Brazzaville,Théophile Adoua,PCT
Brazzaville,Jeanne Françoise Leckomba Loumeto,PCT
Brazzaville,Pierre Ngolo,PCT
Brazzaville,Gabriel Ondongo,PCT
Brazzaville,Ludovic Robert Miyouna,Pulp
Brazzaville,Euloge Henri Rock Ondziel-Onna,PRL
Bouenza,Ange Edouard Poungui,UPADS
Bouenza,Dhadie Yedikissa,UPADS
Bouenza,Gaspard Kaya Magane,Indépendant
Bouenza,Ralco Mouanda Kitsinga,Indépendant
Bouenza,Barthélémy Nzaba Bakala,PCT
Bouenza,Antoine Banvindi,Club 2002-PUR
Plateaux,Paul Stanislas Nguié,PCT
Plateaux,Joséphine Mountou Bayonne,PCT
Plateaux,Aristide Ngama Ngakosso,PCT
Plateaux,Pauline Ikourou Yoka,PCT
Plateaux,Gabriel Oba Apounou,PCT
Plateaux,Charlotte Olondowé,PCT
Cuvette,Gaston Eyabo,PCT
Cuvette,Boniface Bouka,PCT
Cuvette,André Ongagna,PCT
Cuvette,Jean-Pierre Nonault,PCT
Cuvette,Roger Edouard Okoula,PCT
Cuvette,Antonin Molamou,PCT
Cuvette-Ouest,Sébastien Seba,PCT
Cuvette-Ouest,Maurice Mbella,PCT
Cuvette-Ouest,Victoire Ngolingo,PCT
Cuvette-Ouest,Julien Epola,PCT
Cuvette-Ouest,Christine Ngomoka Diokivouka,PCT
Cuvette-Ouest,Jean Serge Kentoula,PCT
Likouala,Alphonse Gondzia,PCT
Likouala,Alphonse Boudo Neza,PCT
Likouala,André Longuele,PCT
Likouala,Jacqueline Moundzalo,PCT
Likouala,Agathe Mankongou Kamango,PCT
Likouala,Jean Roger Ekoundzola,PCT
Niari,Mme Ondaye née Bernadette Ntsona Mapessi,PCT
Niari,Michel Mayinga,PCT
Niari,Anasthasie Batchieleli Moudoma,Front Patriotique
Niari,Pierre Nzely Massanga Izoungou,MAR
Niari,Clobert Ibinda,Indépendant
Niari,Alphonse Nkoua,Indépendant
Lékoumou,Jean-Marie Epouma Andzimba,Indépendant
Lékoumou,Madame Ngotto née Jeanne Emilie Bilongo,PCT
Lékoumou,Jean-Marie Opembé,Indépendant
Lékoumou,Jean Rodrigue Mvouma,PCT
Lékoumou,Jean Nicolas Moungalla,Indépendant
Lékoumou,Mme Lékoundzou née Kengué Emilienne Charlotte,PCT
Sangha,Dominique Aloka,PCT
Sangha,Marie Thérèse Bouvet,PCT
Sangha,Norbert Mbou,PCT
Sangha,Georges Métoul,PCT
Sangha,Marie Rosine Dongo,PCT
Sangha,Daniel Abibi,PCT
